lf	hf	mean	lf_n	hf_n	lf_p	hf_p	state
c	c	c	c	c	c	c	d
							class
428853.865311	82481.0850034	523147.057595	4.6241661843	0.889361796565	0.838694607218	0.161305392782	game
303949.198343	177245.076467	518082.602582	6.6011782559	3.8494141492	0.631655890883	0.368344109117	game
585684.421025	261577.489562	513733.176404	7.5010972609	3.35012870418	0.691267261878	0.308732738122	game
249973.896441	167728.253972	507954.852922	5.62229815714	3.77246691208	0.598450106599	0.401549893401	game
368351.29933	81467.2431044	490978.752004	8.08938103519	1.78910614013	0.818888650825	0.181111349175	read
871321.814489	185764.170823	476273.016575	5.17265092431	1.10279944096	0.824267681717	0.175732318283	read
660133.377704	57997.3800177	465305.800694	3.03674449142	0.266799453314	0.919238412512	0.0807615874882	read
23035262.3609	2854475.3914	541829.060792	4.96625615371	0.615406751442	0.889744909017	0.110255090983	read
613590.658474	91290.3193268	602447.945063	3.71473985498	0.552680818871	0.870488320437	0.129511679563	read
2185008.70285	191301.989591	623016.56887	3.04948206014	0.266988403555	0.919496221517	0.0805037784832	read
